key_0,lineloc,stage_filtered,z,underwater,z_normalized,nice_datetimes
2021-06-26 06:00:00,323.0,0.378371429,316.7664027760613,0.0,1.8209316312369879,Jun 26
2021-06-26 09:00:00,335.0,0.3223,316.19750273753937,0.0,1.2520315927150705,Jun 26
2021-06-26 12:00:00,,0.243844444,,,,Jun 26
2021-06-26 15:00:00,337.0,0.1946875,316.1026860644524,0.0,1.1572149196281316,Jun 26
2021-06-26 18:00:00,355.0,0.200757143,315.24933600666964,0.0,0.3038648618453408,Jun 26
2021-06-26 21:00:00,370.0,0.2629,314.53821095851725,0.0,-0.40726018630704175,Jun 26
2021-06-27 00:00:00,323.0,0.406685714,316.7664027760613,0.0,1.8209316312369879,Jun 27
2021-06-27 03:00:00,323.0,0.4031,316.7664027760613,0.0,1.8209316312369879,Jun 27
2021-06-27 06:00:00,323.0,0.350533333,316.7664027760613,0.0,1.8209316312369879,Jun 27
2021-06-27 09:00:00,323.0,0.32248,316.7664027760613,0.0,1.8209316312369879,Jun 27
2021-06-27 12:00:00,,0.207271429,,,,Jun 27
2021-06-27 15:00:00,350.0,0.15484,315.48637768938704,0.0,0.5409065445627448,Jun 27
2021-06-27 18:00:00,360.0,0.090933333,315.0122943239522,0.0,0.06682317912787994,Jun 27
2021-06-27 21:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jun 27
2021-06-28 00:00:00,345.0,0.0754375,315.7234193721045,0.0,0.7779482272802056,Jun 28
2021-06-28 03:00:00,360.0,0.175766667,315.0122943239522,0.0,0.06682317912787994,Jun 28
2021-06-28 06:00:00,350.0,0.191275,315.48637768938704,0.0,0.5409065445627448,Jun 28
2021-06-28 09:00:00,338.0,0.190072727,316.0552777279089,0.0,1.1098065830846053,Jun 28
2021-06-28 12:00:00,,0.139627273,,,,Jun 28
2021-06-28 15:00:00,,0.085342857,,,,Jun 28
2021-06-28 18:00:00,330.0,,316.4345444202568,0.0,1.4890732754325313,Jun 28
2021-06-28 21:00:00,330.0,0.1779375,316.4345444202568,0.0,1.4890732754325313,Jun 28
2021-06-29 00:00:00,322.0,0.4069,316.81381111260475,0.0,1.8683399677804573,Jun 29
2021-06-29 03:00:00,322.0,0.519057143,316.81381111260475,0.0,1.8683399677804573,Jun 29
2021-06-29 06:00:00,321.0,0.491875,316.8612194491482,0.0,1.9157483043239267,Jun 29
2021-06-29 09:00:00,321.0,0.423671429,316.8612194491482,0.0,1.9157483043239267,Jun 29
2021-06-29 12:00:00,,0.256033333,,,,Jun 29
2021-06-29 15:00:00,337.0,0.1778,316.1026860644524,0.0,1.1572149196281316,Jun 29
2021-06-29 18:00:00,327.0,0.171425,316.5767694298873,0.0,1.6312982850629965,Jun 29
2021-06-29 21:00:00,355.0,0.323083333,315.24933600666964,0.0,0.3038648618453408,Jun 29
2021-06-30 00:00:00,355.0,0.507627273,315.24933600666964,0.0,0.3038648618453408,Jun 30
2021-06-30 03:00:00,345.0,0.57,315.7234193721045,0.0,0.7779482272802056,Jun 30
2021-06-30 06:00:00,340.0,0.5421,315.96046105482196,0.0,1.0149899099976665,Jun 30
2021-06-30 09:00:00,330.0,0.485322222,316.4345444202568,0.0,1.4890732754325313,Jun 30
2021-06-30 12:00:00,,0.35783,,,,Jun 30
2021-06-30 15:00:00,336.0,0.2400375,316.1500944009959,0.0,1.204623256171601,Jun 30
2021-06-30 18:00:00,350.0,0.1963,315.48637768938704,0.0,0.5409065445627448,Jun 30
2021-06-30 21:00:00,342.0,0.15165,315.86564438173497,0.0,0.9201732369106708,Jun 30
2021-07-01 00:00:00,350.0,0.123228571,315.48637768938704,0.0,0.5409065445627448,Jul 01
2021-07-01 03:00:00,350.0,0.088775,315.48637768938704,0.0,0.5409065445627448,Jul 01
2021-07-01 06:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 01
2021-07-01 09:00:00,365.0,,314.7752526412347,0.0,-0.1702185035895809,Jul 01
2021-07-01 12:00:00,,,,,,Jul 01
2021-07-01 15:00:00,,,,,,Jul 01
2021-07-01 18:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 01
2021-07-01 21:00:00,380.0,,314.0641275930824,0.0,-0.8813435517419066,Jul 01
2021-07-02 00:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jul 02
2021-07-02 03:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jul 02
2021-07-02 06:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jul 02
2021-07-02 09:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jul 02
2021-07-02 12:00:00,,,,,,Jul 02
2021-07-02 15:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 02
2021-07-02 18:00:00,381.0,,314.01671925653886,0.0,-0.9287518882854329,Jul 02
2021-07-02 21:00:00,391.0,,313.542635891104,0.0,-1.4028352537202977,Jul 02
2021-07-03 00:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 03
2021-07-03 03:00:00,405.0,,312.87891917949514,0.0,-2.066551965329154,Jul 03
2021-07-03 06:00:00,397.0,,313.25818587184307,0.0,-1.687285272981228,Jul 03
2021-07-03 09:00:00,405.0,,312.87891917949514,0.0,-2.066551965329154,Jul 03
2021-07-03 12:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 03
2021-07-03 15:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 03
2021-07-03 18:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 03
2021-07-03 21:00:00,388.0,,313.68486090073446,0.0,-1.2606102440898326,Jul 03
2021-07-04 00:00:00,398.0,,313.2107775352996,0.0,-1.7346936095246974,Jul 04
2021-07-04 03:00:00,387.0,,313.73226923727793,0.0,-1.2132019075463631,Jul 04
2021-07-04 06:00:00,386.0,,313.77967757382146,0.0,-1.1657935710028369,Jul 04
2021-07-04 09:00:00,405.0,,312.87891917949514,0.0,-2.066551965329154,Jul 04
2021-07-04 12:00:00,,,,,,Jul 04
2021-07-04 15:00:00,381.0,,314.01671925653886,0.0,-0.9287518882854329,Jul 04
2021-07-04 18:00:00,407.0,,312.78410250640815,0.0,-2.1613686384161497,Jul 04
2021-07-04 21:00:00,413.0,,312.4996524871472,0.0,-2.44581865767708,Jul 04
2021-07-05 00:00:00,401.0,,313.06855252566913,0.0,-1.8769186191551626,Jul 05
2021-07-05 03:00:00,402.0,,313.0211441891256,0.0,-1.9243269556986888,Jul 05
2021-07-05 06:00:00,405.0,,312.87891917949514,0.0,-2.066551965329154,Jul 05
2021-07-05 09:00:00,387.0,,313.73226923727793,0.0,-1.2132019075463631,Jul 05
2021-07-05 12:00:00,,,,,,Jul 05
2021-07-05 15:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 05
2021-07-05 18:00:00,377.0,,314.20635260271285,0.0,-0.7391185421114415,Jul 05
2021-07-05 21:00:00,388.0,,313.68486090073446,0.0,-1.2606102440898326,Jul 05
2021-07-06 00:00:00,405.0,,312.87891917949514,0.0,-2.066551965329154,Jul 06
2021-07-06 03:00:00,405.0,,312.87891917949514,0.0,-2.066551965329154,Jul 06
2021-07-06 06:00:00,401.0,,313.06855252566913,0.0,-1.8769186191551626,Jul 06
2021-07-06 09:00:00,410.0,,312.6418774967777,0.0,-2.303593648046615,Jul 06
2021-07-06 12:00:00,,,,,,Jul 06
2021-07-06 15:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 06
2021-07-06 18:00:00,376.0,,314.2537609392563,0.0,-0.691710205567972,Jul 06
2021-07-06 21:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 06
2021-07-07 00:00:00,384.0,,313.8744942469084,0.0,-1.070976897915898,Jul 07
2021-07-07 03:00:00,388.0,,313.68486090073446,0.0,-1.2606102440898326,Jul 07
2021-07-07 06:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 07
2021-07-07 09:00:00,381.0,,314.01671925653886,0.0,-0.9287518882854329,Jul 07
2021-07-07 12:00:00,,,,,,Jul 07
2021-07-07 15:00:00,395.0,,313.35300254493006,0.0,-1.5924685998942323,Jul 07
2021-07-07 18:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 07
2021-07-07 21:00:00,400.0,,313.1159608622126,0.0,-1.8295102826116931,Jul 07
2021-07-08 00:00:00,379.0,,314.11153592962586,0.0,-0.8339352151984372,Jul 08
2021-07-08 03:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 08
2021-07-08 06:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jul 08
2021-07-08 09:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jul 08
2021-07-08 12:00:00,,,,,,Jul 08
2021-07-08 15:00:00,380.0,,314.0641275930824,0.0,-0.8813435517419066,Jul 08
2021-07-08 18:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jul 08
2021-07-08 21:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jul 08
2021-07-09 00:00:00,363.0,,314.8700693143217,0.0,-0.0754018305025852,Jul 09
2021-07-09 03:00:00,380.0,,314.0641275930824,0.0,-0.8813435517419066,Jul 09
2021-07-09 06:00:00,380.0,,314.0641275930824,0.0,-0.8813435517419066,Jul 09
2021-07-09 09:00:00,380.0,,314.0641275930824,0.0,-0.8813435517419066,Jul 09
2021-07-09 12:00:00,,,,,,Jul 09
2021-07-09 15:00:00,385.0,,313.82708591036493,0.0,-1.1183852344593674,Jul 09
2021-07-09 18:00:00,354.0,,315.2967443432131,0.0,0.3512731983888102,Jul 09
2021-07-09 21:00:00,346.0,,315.67601103556103,0.0,0.7305398907367362,Jul 09
2021-07-10 00:00:00,375.0,,314.30116927579985,0.0,-0.6443018690244458,Jul 10
2021-07-10 03:00:00,355.0,0.247990909,315.24933600666964,0.0,0.3038648618453408,Jul 10
2021-07-10 06:00:00,337.0,0.291328571,316.1026860644524,0.0,1.1572149196281316,Jul 10
2021-07-10 09:00:00,336.0,0.24688,316.1500944009959,0.0,1.204623256171601,Jul 10
2021-07-10 12:00:00,,0.129314286,,,,Jul 10
2021-07-10 15:00:00,332.0,,316.3397277471699,0.0,1.3942566023455925,Jul 10
